network_enp0s3_rx,network_enp0s3_tx,network_enp0s3_cx,mem_active,mem_cached,mem_shared,cpu_system,cpu_softirq,cpu_ctx_switches,cpu_interrupts,cpu_soft_interrupts,%user,%idle,label
85532,85260,170792,2731851776,7699636224,4934938624,49.1,35.8,3498,7176,6489,14.9,0.1,normal
64440,64500,128940,2731851776,7699636224,4934938624,49.1,35.8,3498,7176,6489,14.9,0.1,normal
89220,89220,178440,2731851776,7699636224,4934938624,51,32.7,3626,7319,6601,16.3,0,normal
58260,58260,116520,2731851776,7699636224,4934938624,51,32.7,3626,7319,6601,16.3,0,normal
89824,89340,179164,2731859968,7699644416,4934946816,48.9,36.7,3571,7173,6514,14,0.4,normal
56700,56760,113460,2731859968,7699644416,4934946816,48.9,36.7,3571,7173,6514,14,0.4,normal
90720,90720,181440,2731859968,7699644416,4934946816,51.1,33.5,3352,7162,6529,15.4,0,normal
55320,55320,110640,2731859968,7699644416,4934946816,51.1,33.5,3352,7162,6529,15.4,0,normal
90785,90449,181234,2731864064,7699648512,4934950912,49.6,36.2,3497,7079,6438,14.3,0,normal
58560,58500,117060,2731864064,7699648512,4934950912,49.6,36.2,3497,7079,6438,14.3,0,normal
80100,80160,160260,2731864064,7699648512,4934950912,49.1,34,3538,6582,6041,16.8,0.1,normal
70380,70380,140760,2731864064,7699648512,4934950912,49.1,34,3538,6582,6041,16.8,0.1,normal
81240,81240,162480,2731868160,7699652608,4934955008,50.1,35.7,3352,7182,6473,14.2,0,normal
67898,67898,135796,2731868160,7699652608,4934955008,50.1,35.7,3352,7182,6473,14.2,0,normal
92552,92340,184892,2731868160,7699652608,4934955008,50.6,35,3653,7713,6963,14.2,0.2,normal
55920,55920,111840,2731868160,7699652608,4934955008,50.6,35,3653,7713,6963,14.2,0.2,normal
92760,92700,185460,2731872256,7699656704,4934959104,51.6,34.1,3422,7174,6484,14.3,0,normal
53040,53100,106140,2731872256,7699656704,4934959104,51.6,34.1,3422,7174,6484,14.3,0,normal
84480,84420,168900,2731872256,7699656704,4934959104,49,36.5,3227,6557,5941,14.5,0,normal
62400,62400,124800,2731872256,7699656704,4934959104,49,36.5,3227,6557,5941,14.5,0,normal
87060,87060,174120,2731876352,7699660800,4934963200,51.8,34,3387,7231,6605,14.2,0,normal
61472,61320,122792,2731876352,7699660800,4934963200,51.8,34,3387,7231,6605,14.2,0,normal
88980,88920,177900,2731876352,7699660800,4934963200,48.9,37.4,3281,7051,6401,13.7,0,normal
60360,60420,120780,2731876352,7699660800,4934963200,48.9,37.4,3281,7051,6401,13.7,0,normal
81977,81518,163495,2731888640,7699668992,4934971392,46.3,34.7,3989,6828,6264,18.8,0.3,confidentiality
74607,71104,145711,2731888640,7699668992,4934971392,46.3,34.7,3989,6828,6264,18.8,0.3,normal
90360,90360,180720,2731888640,7699673088,4934975488,49.5,37.3,3730,7549,6787,13.2,0,normal
64320,64320,128640,2731888640,7699673088,4934975488,49.5,37.3,3730,7549,6787,13.2,0,normal
82680,82620,165300,2731892736,7699677184,4934979584,51.4,33.9,3218,6964,6230,14.6,0.1,normal
65318,65378,130696,2731892736,7699677184,4934979584,51.4,33.9,3218,6964,6230,14.6,0.1,normal
82080,82080,164160,2731892736,7699677184,4934979584,48.4,36.7,3488,7099,6320,14.9,0,normal
145800,145740,291540,2731892736,7699677184,4934979584,48.4,36.7,3488,7099,6320,14.9,0,normal
125280,125280,250560,2731896832,7699681280,4934983680,49.2,35.1,3158,6349,5880,13.8,1.8,normal
58860,58860,117720,2731896832,7699681280,4934983680,49.2,35.1,3158,6349,5880,13.8,1.8,normal
78120,78120,156240,2731896832,7699681280,4934983680,48.7,36.4,3188,6578,5873,14.8,0.1,normal
68552,68340,136892,2731896832,7699681280,4934983680,48.7,36.4,3188,6578,5873,14.8,0.1,normal
85080,85020,170100,2731900928,7699685376,4934987776,52.8,32.9,3378,7375,6577,14.4,0,normal
64800,64860,129660,2731900928,7699685376,4934987776,52.8,32.9,3378,7375,6577,14.4,0,normal
83460,83460,166920,2731900928,7699685376,4934987776,47.9,37.5,3435,7196,6523,14.4,0.1,normal
68640,68640,137280,2731900928,7699685376,4934987776,47.9,37.5,3435,7196,6523,14.4,0.1,normal
83040,83040,166080,2731909120,7699689472,4934991872,50.9,32.8,4133,7252,6776,16,0.4,normal
60240,60240,120480,2731909120,7699689472,4934991872,50.9,32.8,4133,7252,6776,16,0.4,normal
79920,79920,159840,2731909120,7699689472,4934991872,48.6,36.7,3250,6656,6057,14.8,0,normal
68760,68700,137460,2731909120,7699689472,4934991872,48.6,36.7,3250,6656,6057,14.8,0,normal
